_number_,fastPeriod,slowPeriod,_status_,SRWithoutFee,annualizedReturn,calmarRatio,dailyCommission,dailyNetPnl,dailyReturn,dailyReturnWithoutFee,dailySlippage,dailyTradeCount,dailyTurnover,endBalance,endDate,lossDays,maxDdPercent,maxDrawdown,profitDays,returnStd,returnWithoutFeeStd,sharpeRatio,startDate,theoreticalSRWithoutFee,totalCommission,totalDays,totalNetPnl,totalReturn,totalSlippage,totalTradeCount,totalTurnover
0,5,30,1,0.6852381734914038,0.66723820408163,0.48030783617356293,0.0,27.801591836734758,0.002780159183673472,0.002780159183673472,0.0,0.44081632653061226,14511.132204081632,1013622.78,2016-05-31,173,-1.3891886699106828,-14238.0,141,0.0628541177927125,0.0628541177927125,0.6852381734914038,2014-06-03,1.1880000000000002,0.0,490,13622.780000000032,1.3622779999999945,0.0,216,7110454.779999999
3,10,30,1,0.4961195170017074,0.500217795918369,0.28888490285239365,0.0,20.842408163265297,0.0020842408163265257,0.0020842408163265257,0.0,0.32653061224489793,11091.307714285713,1010212.78,2016-05-31,152,-1.7315470312893309,-17694.0,156,0.06508294630215569,0.06508294630215569,0.4961195170017074,2014-06-03,1.022467603398758,0.0,490,10212.779999999995,1.0212780000000032,0.0,160,5434740.779999999
6,15,30,1,0.30240163033123646,0.29250612244898394,0.13419335413476183,0.0,12.187755102040787,0.00121877551020408,0.00121877551020408,0.0,0.3142857142857143,10593.289795918367,1005972.0,2016-05-31,153,-2.1797362793036585,-22280.0,159,0.06243745774274377,0.06243745774274377,0.30240163033123646,2014-06-03,1.003113154135664,0.0,490,5971.999999999985,0.5972000000000088,0.0,154,5190712.0
1,5,50,1,0.059580306286089554,0.04604081632652771,0.026096864935558697,0.0,1.9183673469387699,0.0001918367346938794,0.0001918367346938794,0.0,0.30612244897959184,10078.097959183673,1000940.0,2016-05-31,149,-1.7642278656925594,-17976.0,137,0.04988094388723692,0.04988094388723692,0.059580306286089554,2014-06-03,0.99,0.0,490,939.9999999999973,0.09399999999999409,0.0,150,4938268.0
8,15,70,1,0.030778156360282298,0.03487346938775735,0.015039716132094446,0.0,1.4530612244897885,0.00014530612244897782,0.00014530612244897782,0.0,0.20816326530612245,6918.171428571429,1000712.0,2016-05-31,178,-2.318758484632438,-23742.0,174,0.07313864882083601,0.07313864882083601,0.030778156360282298,2014-06-03,0.8163749138722968,0.0,490,711.9999999999964,0.07120000000000459,0.0,102,3389904.0
2,5,70,1,-0.14674450972690295,-0.12215510204081614,-0.059276267051723806,0.0,-5.089795918367371,-0.0005089795918367362,-0.0005089795918367362,0.0,0.25918367346938775,8533.122448979591,997506.0,2016-05-31,166,-2.060775890867503,-20974.0,136,0.053733376094594186,0.053733376094594186,-0.14674450972690295,2014-06-03,0.9109434669615892,0.0,490,-2494.000000000012,-0.24939999999999962,0.0,127,4181230.0
10,20,50,1,-0.2745033939543731,-0.2226749387755109,-0.12639356327687373,0.0,-9.278122448979621,-0.0009278122448979628,-0.0009278122448979628,0.0,0.21836734693877552,7148.404653061225,995453.72,2016-05-31,155,-1.7617585342358473,-17852.0,146,0.0523622141224878,0.0523622141224878,-0.2745033939543731,2014-06-03,0.8361447243151152,0.0,490,-4546.280000000014,-0.45462800000000136,0.0,107,3502718.2800000003
4,10,50,1,-0.3215188848084806,-0.25581257142856906,-0.11268407577719014,0.0,-10.658857142857142,-0.0010658857142857114,-0.0010658857142857114,0.0,0.24897959183673468,8269.341142857143,994777.16,2016-05-31,154,-2.270174997347331,-23106.839999999967,129,0.05135819779728311,0.05135819779728311,-0.3215188848084806,2014-06-03,0.8928314510589331,0.0,490,-5222.84,-0.5222839999999951,0.0,122,4051977.16
9,20,30,1,-0.39562982458991797,-0.39079738775510564,-0.14517394835613268,0.0,-16.28322448979591,-0.0016283224489795883,-0.0016283224489795883,0.0,0.37755102040816324,12629.09636734694,992021.22,2016-05-31,171,-2.691925047023059,-27306.780000000028,164,0.06376127718571734,0.06376127718571734,-0.39562982458991797,2014-06-03,1.099449862431207,0.0,490,-7978.779999999995,-0.7978780000000074,0.0,185,6188257.220000001
7,15,50,1,-0.4870839040278463,-0.41770775510204555,-0.16573870485899306,0.0,-17.404489795918398,-0.0017404489795918405,-0.0017404489795918405,0.0,0.22653061224489796,7424.849795918367,991471.7999999999,2016-05-31,155,-2.5202788658051984,-25633.900000000023,135,0.0553558009791884,0.0553558009791884,-0.4870839040278463,2014-06-03,0.8516302014372201,0.0,490,-8528.200000000015,-0.8528200000000097,0.0,111,3638176.4
11,20,70,1,-0.5386058172416872,-0.43818514285714155,-0.20468859306939316,0.0,-18.257714285714247,-0.001825771428571426,-0.001825771428571426,0.0,0.18571428571428572,6088.657714285715,991053.72,2016-05-31,157,-2.1407404110134696,-21680.0,147,0.052514711950579794,0.052514711950579794,-0.5386058172416872,2014-06-03,0.7710992154061629,0.0,490,-8946.27999999998,-0.8946279999999973,0.0,91,2983442.2800000003
5,10,70,1,-0.5755587233677291,-0.4891102040816352,-0.18304834167447995,0.0,-20.379591836734665,-0.0020379591836734673,-0.0020379591836734673,0.0,0.22857142857142856,7584.542857142857,990014.0,2016-05-31,173,-2.67202750709118,-27168.0,149,0.05485439909543278,0.05485439909543278,-0.5755587233677291,2014-06-03,0.8554577721898375,0.0,490,-9985.999999999985,-0.998600000000005,0.0,112,3716426.0
